source_path,status,engine_mode,model,backend,source_sha256,transcript_path,transcript_sha256,reason,error
originals/American-Alchemy/videos/100-000-ufos-are-surrounding-earth-ft-top-astronomer-beatriz-villarroel-1zRWi_r3HRM.mp4,complete,whisper,large-v3,mlx,,100-000-ufos-are-surrounding-earth-ft-top-astronomer-beatriz-villarroel-1zRWi_r3HRM.tsv,eb18c70d97fb9cafefcd244bc88f7604ae164471584ed8380dc222332135e028,,
originals/American-Alchemy/videos/a-weekend-with-bob-lazar-inside-area51-s-ufos-d9tdJ2SkBKQ.mp4,complete,whisper,large-v3,mlx,,a-weekend-with-bob-lazar-inside-area51-s-ufos-d9tdJ2SkBKQ.tsv,c31ea519b3dc158334892b74e99275b17624eb28bead8480fce0e0fc9b44da78,,
originals/American-Alchemy/videos/alex-jones-getting-drunk-painting-rocks-interview-KhmUixSXxDo.mp4,complete,whisper,large-v3,mlx,,alex-jones-getting-drunk-painting-rocks-interview-KhmUixSXxDo.tsv,9262c48190fb74eac27fbe020b28566665ad9e20b9a990645f4d4e8b6d39e7a1,,
originals/American-Alchemy/videos/aliens-are-accelerating-human-evolution-ft-chris-ramsay-h3u8EkGI8OQ.mp4,complete,whisper,large-v3,mlx,,aliens-are-accelerating-human-evolution-ft-chris-ramsay-h3u8EkGI8OQ.tsv,05bfe56c9f399fb3c142b3cef575fb6eb73642d77ede3ba66e51545deb4cb210,,
originals/American-Alchemy/videos/aliens-are-humans-from-the-future-ft-mike-masters-david-grusch-Y26iMB0r-f8.mp4,complete,whisper,large-v3,mlx,,aliens-are-humans-from-the-future-ft-mike-masters-david-grusch-Y26iMB0r-f8.tsv,4b389a9d4c4516d02a16b1138d6860582ce2347adeff63b3fc544edc10eea15b,,
originals/American-Alchemy/videos/aliens-are-simulating-our-reality-top-mit-scientist-riz-virk-aKZ_MUbuk_Q.mp4,complete,whisper,large-v3,mlx,,aliens-are-simulating-our-reality-top-mit-scientist-riz-virk-aKZ_MUbuk_Q.tsv,af18a75975a8738bcdf6c4b2964c72aa5e79872492ca234c8303a8c1804b1b3c,,
originals/American-Alchemy/videos/aliens-drove-this-man-insane-ft-greg-bishop-WBTqsbwJyqU.mp4,complete,whisper,large-v3,mlx,,aliens-drove-this-man-insane-ft-greg-bishop-WBTqsbwJyqU.tsv,4c366a8a9d500100cd10beb92521011f237deab1d8288ef56bd4fc4dc4581b6b,,
originals/American-Alchemy/videos/aliens-invented-religion-to-control-humanity-top-philosopher-jason-jorjani-EzPmG_7WhXc.mp4,complete,whisper,large-v3,mlx,,aliens-invented-religion-to-control-humanity-top-philosopher-jason-jorjani-EzPmG_7WhXc.tsv,41268c9a5b2792f5e97cc6d1279a981d2bac5cb9e113e312dece3803cd9ece60,,
originals/American-Alchemy/videos/aliens-live-among-us-i-ve-met-them-whitley-strieber-tells-all-ABOP8ZJsyIk.mp4,complete,whisper,large-v3,mlx,,aliens-live-among-us-i-ve-met-them-whitley-strieber-tells-all-ABOP8ZJsyIk.tsv,e59ca248a0856e371aeb79bf37c73bcdafe9846016807a0bbaf7b2fd1b10695c,,
originals/American-Alchemy/videos/aliens-taught-me-advanced-physics-ft-dave-rossi-5OUzGygIrSw.mp4,complete,whisper,large-v3,mlx,,aliens-taught-me-advanced-physics-ft-dave-rossi-5OUzGygIrSw.tsv,e81c0e65aeea4b4d87aae98f79599a00d7c8dd12d7c2e9b4f32ca33006d6b78f,,
