id	title	status	published	video_path	video_bytes	updated_at	url
-0g3lLGxNfc	“This UFO Shut Down 10 Nukes!” - Air Force Officer Robert Salas	archived		videos/this-ufo-shut-down-10-nukes-air-force-officer-robert-salas--0g3lLGxNfc.mp4	985145768	2026-08-01T17:20:53Z	https://youtu.be/-0g3lLGxNfc
-XdvIrexF08	“If You Knew What I Knew!” -Jeremy Corbell UNLEASHES On Jesse Michels	archived		videos/if-you-knew-what-i-knew-jeremy-corbell-unleashes-on-jesse-michels--XdvIrexF08.mp4	1494721706	2026-08-01T17:18:13Z	https://youtu.be/-XdvIrexF08
09KP8XVf5nY	Presidential Advisor: “I Directly Handled UFO Material” (Ft. Harald Malmgren)	archived		videos/presidential-advisor-i-directly-handled-ufo-material-ft-harald-malmgren-09KP8XVf5nY.mp4	2137187868	2026-08-01T17:23:00Z	https://youtu.be/09KP8XVf5nY
0qlppHc3-gg	"""These Children Can Read Your Mind!” (ft. Ky Dickens | Telepathy Tapes Documentary)"	archived		videos/these-children-can-read-your-mind-ft-ky-dickens-telepathy-tapes-documentary-0qlppHc3-gg.mp4	862872772	2026-08-01T17:23:00Z	https://youtu.be/0qlppHc3-gg
1f16VvXaSSE	“Multiple Alien Groups May Be Visiting Earth!” (Lue Elizondo Documentary)	archived		videos/multiple-alien-groups-may-be-visiting-earth-lue-elizondo-documentary-1f16VvXaSSE.mp4	1809058898	2026-08-01T17:23:00Z	https://youtu.be/1f16VvXaSSE
1iaH1a3A4Lk	UFO Skeptic Mick West Challenged To A Debate	archived		videos/ufo-skeptic-mick-west-challenged-to-a-debate-1iaH1a3A4Lk.mp4	2064414051	2026-08-01T17:23:00Z	https://youtu.be/1iaH1a3A4Lk
1sxmSMzqnmA	“I Operated a UFO… It’s Not What You Think” -Army Sergeant Lyn Buchanan	archived		videos/i-operated-a-ufo-its-not-what-you-think-army-sergeant-lyn-buchanan-1sxmSMzqnmA.mp4	1267216353	2026-08-01T17:18:13Z	https://youtu.be/1sxmSMzqnmA
1zRWi_r3HRM	"""100,000 UFOs Are Surrounding Earth!"" ft. Top Astronomer Beatriz Villarroel"	archived		videos/100-000-ufos-are-surrounding-earth-ft-top-astronomer-beatriz-villarroel-1zRWi_r3HRM.mp4	861439460	2026-08-01T17:20:53Z	https://youtu.be/1zRWi_r3HRM
2-GeTxXi670	The CIA Scientist That Contacted an Alien Council	archived		videos/the-cia-scientist-that-contacted-an-alien-council-2-GeTxXi670.mp4	2449181693	2026-08-01T17:18:13Z	https://youtu.be/2-GeTxXi670
2Mb6NPPjCyg	Martin Shkreli on Life in Prison, Pharma, UFO’s	archived		videos/martin-shkreli-on-life-in-prison-pharma-ufos-2Mb6NPPjCyg.mp4	888811236	2026-08-01T17:23:12Z	https://youtu.be/2Mb6NPPjCyg
2SQXAPCdmPE	The Man Involved In Every American Conspiracy	archived		videos/the-man-involved-in-every-american-conspiracy-2SQXAPCdmPE.mp4	1466133212	2026-08-01T17:23:00Z	https://youtu.be/2SQXAPCdmPE
2Xxmguz0GEQ	"CIA Contractor: ""Obama Received An Alien Prophecy"""	archived		videos/cia-contractor-obama-received-an-alien-prophecy-2Xxmguz0GEQ.mp4	925102951	2026-08-01T17:23:00Z	https://youtu.be/2Xxmguz0GEQ
2ttdlCa5ZCI	The Hacker That Found NASA’s Secret Space Fleet [Gary McKinnon Interview]	archived		videos/the-hacker-that-found-nasas-secret-space-fleet-gary-mckinnon-interview-2ttdlCa5ZCI.mp4	1385082878	2026-08-01T17:18:13Z	https://youtu.be/2ttdlCa5ZCI
335V-grwi8c	It’s Probably Nothing - LIVE Tour 2026	archived		videos/its-probably-nothing-live-tour-2026-335V-grwi8c.mp4	39799292	2026-08-01T17:18:13Z	https://youtu.be/335V-grwi8c
4U3JaHp2B5Y	Tinder Founder Shares Priceless Investing Secrets	archived		videos/tinder-founder-shares-priceless-investing-secrets-4U3JaHp2B5Y.mp4	332542993	2026-08-01T17:24:27Z	https://youtu.be/4U3JaHp2B5Y
51N8OxqZIWY	Jeffrey Epstein & Aliens: The Global Satanic Cabal (ft. Jay Anderson & Kurt Metzger)	archived		videos/jeffrey-epstein-aliens-the-global-satanic-cabal-ft-jay-anderson-kurt-metzger-51N8OxqZIWY.mp4	1922144897	2026-08-01T17:20:53Z	https://youtu.be/51N8OxqZIWY
5Ne8ZbYxjKs	Why American Sperm Count Dropped 41% in 50 years	archived		videos/why-american-sperm-count-dropped-41-in-50-years-5Ne8ZbYxjKs.mp4	356902674	2026-08-01T17:23:54Z	https://youtu.be/5Ne8ZbYxjKs
5OUzGygIrSw	“Aliens Taught Me Advanced Physics!” (Ft. Dave Rossi)	archived		videos/aliens-taught-me-advanced-physics-ft-dave-rossi-5OUzGygIrSw.mp4	829153391	2026-08-01T17:23:00Z	https://youtu.be/5OUzGygIrSw
5udx_SDdL3Y	Did Oppenheimer Work on UFOs?	archived		videos/did-oppenheimer-work-on-ufos-5udx_SDdL3Y.mp4	343138291	2026-08-01T17:23:00Z	https://youtu.be/5udx_SDdL3Y
6WC4o2yY9Ws	US Fighter Pilots Witness UFO (ft. Ryan Graves)	archived		videos/us-fighter-pilots-witness-ufo-ft-ryan-graves-6WC4o2yY9Ws.mp4	671329596	2026-08-01T17:23:00Z	https://youtu.be/6WC4o2yY9Ws
